"File","Gaussian kernel standard deviation","AWS Sharpness","VoL Left","VoL Right","VoL Mean","VoL Time","PBM Left","PBM Right","PBM Mean","PBM Time","TV Left","TV Right","TV Mean","TV Time","WCV Left","WCV Right","WCV Mean","WCV Time"
"IMG_B047.JPG",5,3.3018569946289062,2.1604318501036843,2.1395240595311296,2.149977954817407,0.002043079999566544,0.8681083009248367,0.862232639259392,0.8651704700921143,0.015829560000383935,202.2358004210785,159.38213280527782,180.80896661317814,0.0013329599996723118,0.281031278459346,0.2748971253816008,0.27796420192047344,0.0025343199995404575
"IMG_B048.JPG",0,92.22801208496094,1340.8238961961533,977.1129454506768,1158.968420823415,0.0018196399996668333,0.40413900736359765,0.41769457390973574,0.4109167906366667,0.011687040000651905,3263.418255262778,2891.4935297254797,3077.455892494129,0.001727279999613529,190.44956218582638,143.1927328679198,166.8211475268731,0.003331560000333411
"IMG_B048.JPG",1,67.22731018066406,22.432184843369473,20.29516336652968,21.363674104949574,0.0018230800005767378,0.565449535554846,0.583996096842571,0.5747228161987086,0.009934439999597089,1481.3655707696444,1260.8718734685162,1371.1187221190803,0.001614759999938542,2.822231152562498,2.5330886707698723,2.6776599116661854,0.0031734799995319918
"IMG_B048.JPG",2,20.927310943603516,4.68262932624346,4.374910036722819,4.52876968148314,0.0019480399996609776,0.7131782439457661,0.7242283136267951,0.7187032787862806,0.015088959999957297,753.9487942844472,596.1157877225953,675.0322910035213,0.001307720000113477,0.32529587165686447,0.3252932790330185,0.3252945753449415,0.0025349999996251427
"IMG_B048.JPG",3,7.589449882507324,2.9047241093199934,2.813907093471951,2.859315601395972,0.0009842400004345109,0.7962809917355358,0.8017667857258701,0.799023888730703,0.007977119999850402,458.31229632082585,350.22102986376,404.2666630922929,0.001639479999539617,0.29548575429945817,0.30227783515930196,0.29888179472938003,0.00237632000062149
"IMG_B048.JPG",4,4.3748369216918945,2.3769826889038086,2.3418807865660867,2.3594317377349476,0.0010511999998925603,0.8433855721252129,0.8377234140935087,0.8405544931093608,0.008383960000173829,301.74109360234087,229.73856813727798,265.73983086980945,0.0016575199997532764,0.2852380119347212,0.28355444979047273,0.28439623086259697,0.003192999999555468
"IMG_B048.JPG",5,3.3018569946289062,2.1263401243421765,2.1006519529554577,2.113496038648817,0.0018456000007063267,0.8636530558712932,0.8533554281683949,0.8585042420198441,0.01586319999933039,207.05232862510744,158.07393468440227,182.56313165475484,0.002220599999418482,0.2743421816624575,0.2780947894906433,0.2762184855765504,0.0018712400005824747
"IMG_B049.JPG",0,95.51618957519531,1565.4470191767186,1091.2099171273503,1328.3284681520345,0.0007147999995140708,0.42138901429995274,0.43255501415957187,0.4269720142297623,0.004915839999739546,4041.7004193576495,3508.3599376029633,3775.0301784803064,0.0009921600003508502,246.12892738021708,165.94535868509112,206.03714303265411,0.001952040000105626
"IMG_B049.JPG",1,86.86019134521484,28.226571495150342,24.034611725512846,26.130591610331592,0.0020554000002448447,0.5826609547768064,0.5933467640131397,0.588003859394973,0.016564079999625392,1807.734517712146,1603.5268341514068,1705.6306759317763,0.0033721199997671647,3.7244228633633427,2.727129600338216,3.225776231850779,0.0067402800004856545
"IMG_B049.JPG",2,46.02980041503906,5.23935557000431,4.701371887583791,4.970363728794051,0.0018504800000300747,0.7369015307668908,0.745241774107753,0.741071652437322,0.008096160000604868,922.9477779942619,772.7813668275124,847.8645724108871,0.0009688400004961295,0.3516984855373567,0.30638586483885,0.32904217518810336,0.0018683999996937928
"IMG_B049.JPG",3,20.927310943603516,3.055995187641662,2.6829777352603865,2.8694864614510243,0.0006603599995287368,0.8261764617706133,0.831782791789513,0.8289796267800631,0.004891319999842381,578.6179787154606,460.0031086335625,519.3105436745116,0.0009948799997800961,0.3045311540959126,0.2823855881960065,0.2934583711459595,0.001952280000296014
"IMG_B049.JPG",4,9.912903785705566,2.4982325118265036,2.196424966976967,2.3473287394017355,0.0018725600002653664,0.8710590899319597,0.8773122243433608,0.8741856571376603,0.015877159999945434,393.2636723200874,302.92761029610983,348.0956413080986,0.0032042399998317705,0.29789811883458067,0.27663110846694,0.28726461365076034,0.005206359999647248
"IMG_B049.JPG",5,7.589449882507324,2.194713910420736,2.031946806260097,2.1133303583404164,0.0018566399994597305,0.8929816087683442,0.8989157671761939,0.8959486879722691,0.015781560000505124,276.96498844203666,212.02572684010116,244.4953576410689,0.0031912399999782792,0.2851264695975594,0.2765953675605489,0.28086091857905415,0.007464799999979732
"IMG_B050.JPG",0,95.51618957519531,1035.6003139166182,790.5863955344682,913.0933547255432,0.0019642799998109695,0.4417025099410418,0.4521166708798751,0.44690959041045847,0.01701632000003883,3903.623856034898,3582.414589950103,3743.0192229925005,0.003221320000193373,152.779969153059,122.29324553952462,137.53660734629182,0.0070276800006467965
"IMG_B050.JPG",1,86.86019134521484,24.73249402458285,23.013990614149307,23.873242319366078,0.002001360000576824,0.5845812507619161,0.5857641363212245,0.5851726935415703,0.015836679999665648,1936.9602676427558,1800.7338706079458,1868.8470691253508,0.0032424400005766074,2.488728754022295,2.391513910798825,2.44012133241056,0.006643279999480001
"IMG_B050.JPG",2,53.330047607421875,5.576893700493707,5.4758789509902766,5.526386325741992,0.0018568400000731344,0.7324555323835761,0.7288961994169405,0.7306758659002583,0.016491880000103265,1007.8769844942385,871.4855610526295,939.681272773434,0.003871439999784343,0.36066262501451113,0.33842311972824035,0.3495428723713757,0.0019485599996187375
"IMG_B050.JPG",3,26.1773681640625,3.328820075517819,3.1525426676243913,3.240681371571105,0.001857680000284745,0.8200010306168468,0.8231066232150088,0.8215538269159278,0.010342280000259052,625.7826912444702,503.5746313874503,564.6786613159603,0.0013068400003248826,0.3198260734855024,0.30599666959352817,0.3129113715395153,0.002522359999602486
"IMG_B050.JPG",4,12.848764419555664,2.670278996597102,2.544186015187958,2.60723250589253,0.0018449199997121468,0.8682338878745257,0.871961447654734,0.8700976677646299,0.009676759999820206,424.1049628586595,328.4163676874434,376.2606652730515,0.0017137599998022779,0.3138195728298404,0.30147128893797076,0.3076454308839056,0.0033218799999303883
